City,Prefecture,Region
Chiba,Chiba,Kantō
Chōshi,Chiba,Kantō
Ichikawa,Chiba,Kantō
Funabashi,Chiba,Kantō
Tateyama,Chiba,Kantō
Kisarazu,Chiba,Kantō
Matsudo,Chiba,Kantō
Noda,Chiba,Kantō
Mobara,Chiba,Kantō
Narita,Chiba,Kantō
Sakura,Chiba,Kantō
Tōgane,Chiba,Kantō
Narashino,Chiba,Kantō
Kashiwa,Chiba,Kantō
Katsuura,Chiba,Kantō
Ichihara,Chiba,Kantō
Nagareyama,Chiba,Kantō
Yachiyo,Chiba,Kantō
Abiko,Chiba,Kantō
Kamagaya,Chiba,Kantō
Kimitsu,Chiba,Kantō
Futtsu,Chiba,Kantō
Urayasu,Chiba,Kantō
Yotsukaidō,Chiba,Kantō
Sodegaura,Chiba,Kantō
Yachimata,Chiba,Kantō
Inzai,Chiba,Kantō
Shiroi,Chiba,Kantō
Tomisato,Chiba,Kantō
Kamogawa,Chiba,Kantō
Asahi,Chiba,Kantō
Isumi,Chiba,Kantō
Sōsa,Chiba,Kantō
Minamibōsō,Chiba,Kantō
Katori,Chiba,Kantō
Sanmu,Chiba,Kantō
Maebashi,Gunma,Kantō
Takasaki,Gunma,Kantō
Kiryū,Gunma,Kantō
Isesaki,Gunma,Kantō
Ōta,Gunma,Kantō
Numata,Gunma,Kantō
Tatebayashi,Gunma,Kantō
Fujioka,Gunma,Kantō
Shibukawa,Gunma,Kantō
Annaka,Gunma,Kantō
Tomioka,Gunma,Kantō
Midori,Gunma,Kantō
Kobe,Hyōgo,Kansai
Himeji,Hyōgo,Kansai
Amagasaki,Hyōgo,Kansai
Akashi,Hyōgo,Kansai
Nishinomiya,Hyōgo,Kansai
Ashiya,Hyōgo,Kansai
Itami,Hyōgo,Kansai
Aioi,Hyōgo,Kansai
Toyooka,Hyōgo,Kansai
Kakogawa,Hyōgo,Kansai
Akō,Hyōgo,Kansai
Takarazuka,Hyōgo,Kansai
Miki,Hyōgo,Kansai
Takasago,Hyōgo,Kansai
Kawanishi,Hyōgo,Kansai
Ono,Hyōgo,Kansai
Sanda,Hyōgo,Kansai
Kasai,Hyōgo,Kansai
Sasayama,Hyōgo,Kansai
Yabu,Hyōgo,Kansai
Tamba,Hyōgo,Kansai
Minamiawaji,Hyōgo,Kansai
Asago,Hyōgo,Kansai
Awaji,Hyōgo,Kansai
Shisō,Hyōgo,Kansai
Nishiwaki,Hyōgo,Kansai
Tatsuno,Hyōgo,Kansai
Sumoto,Hyōgo,Kansai
Katō,Hyōgo,Kansai
Mito,Ibaraki,Kantō
Hitachi,Ibaraki,Kantō
Tsuchiura,Ibaraki,Kantō
Yūki,Ibaraki,Kantō
Ryūgasaki,Ibaraki,Kantō
Shimotsuma,Ibaraki,Kantō
Jōsō,Ibaraki,Kantō
Hitachiōta,Ibaraki,Kantō
Takahagi,Ibaraki,Kantō
Kitaibaraki,Ibaraki,Kantō
Toride,Ibaraki,Kantō
Ushiku,Ibaraki,Kantō
Tsukuba,Ibaraki,Kantō
Hitachinaka,Ibaraki,Kantō
Kashima,Ibaraki,Kantō
Itako,Ibaraki,Kantō
Moriya,Ibaraki,Kantō
Hitachiōmiya,Ibaraki,Kantō
Naka,Ibaraki,Kantō
Bandō,Ibaraki,Kantō
Inashiki,Ibaraki,Kantō
Chikusei,Ibaraki,Kantō
Kasumigaura,Ibaraki,Kantō
Kamisu,Ibaraki,Kantō
Namegata,Ibaraki,Kantō
Koga,Ibaraki,Kantō
Ishioka,Ibaraki,Kantō
Sakuragawa,Ibaraki,Kantō
Hokota,Ibaraki,Kantō
Kasama,Ibaraki,Kantō
Tsukubamirai,Ibaraki,Kantō
Omitama,Ibaraki,Kantō
Yokohama,Kanagawa,Kantō
Yokosuka,Kanagawa,Kantō
Kawasaki,Kanagawa,Kantō
Hiratsuka,Kanagawa,Kantō
Kamakura,Kanagawa,Kantō
Fujisawa,Kanagawa,Kantō
Odawara,Kanagawa,Kantō
Chigasaki,Kanagawa,Kantō
Zushi,Kanagawa,Kantō
Sagamihara,Kanagawa,Kantō
Miura,Kanagawa,Kantō
Hadano,Kanagawa,Kantō
Atsugi,Kanagawa,Kantō
Yamato,Kanagawa,Kantō
Isehara,Kanagawa,Kantō
Ebina,Kanagawa,Kantō
Zama,Kanagawa,Kantō
Minamiashigara,Kanagawa,Kantō
Ayase,Kanagawa,Kantō
Kyoto,Kyoto,Kansai
Fukuchiyama,Kyoto,Kansai
Maizuru,Kyoto,Kansai
Ayabe,Kyoto,Kansai
Uji,Kyoto,Kansai
Miyazu,Kyoto,Kansai
