age,gender,race,educ,urban,region,income,occup1,union,religion,vote,presvote
41,female,NativeAmerican,HighSchool,suburban,north central,68-95 %ile,clerical,no,protestant,yes,republican
83,female,White,SomeCollege,rural,south,17-33 %ile,homemakers,no,protestant,yes,republican
37,female,White,HighSchool,central,south,34-67 %ile,skilled,no,protestant,no,NA
67,female,Black,HighSchool,central,north central,0-16 %ile,skilled,no,protestant,yes,democrat
28,male,White,CollegeDegree,suburban,south,17-33 %ile,professional,no,protestant,yes,republican
71,female,NativeAmerican,HighSchool,suburban,north central,34-67 %ile,homemakers,no,protestant,yes,democrat
53,female,White,SomeCollege,suburban,north central,68-95 %ile,professional,no,protestant,yes,democrat
33,female,White,SomeCollege,suburban,north central,34-67 %ile,professional,no,protestant,yes,other
60,male,White,SomeCollege,suburban,north central,17-33 %ile,clerical,no,protestant,yes,republican
53,female,White,CollegeDegree,rural,north central,68-95 %ile,professional,no,protestant,yes,republican
23,male,White,HighSchool,rural,north central,34-67 %ile,skilled,no,catholic,yes,other
79,female,White,CollegeDegree,rural,south,34-67 %ile,professional,no,protestant,no,NA
20,male,Asian,SomeCollege,rural,south,0-16 %ile,professional,no,other,yes,democrat
31,female,White,CollegeDegree,rural,south,68-95 %ile,homemakers,no,protestant,yes,republican
75,female,White,GradeSchool,rural,north central,17-33 %ile,homemakers,no,catholic,yes,other
48,female,Asian,CollegeDegree,suburban,south,68-95 %ile,professional,no,catholic,yes,republican
83,female,White,GradeSchool,rural,south,0-16 %ile,skilled,no,protestant,yes,republican
70,female,White,HighSchool,rural,north central,0-16 %ile,homemakers,no,protestant,no,NA
29,female,White,SomeCollege,rural,north central,34-67 %ile,skilled,yes,catholic,yes,democrat
90,male,White,GradeSchool,rural,north central,0-16 %ile,skilled,yes,other,no,NA
63,female,White,HighSchool,rural,north central,0-16 %ile,skilled,no,other,yes,other
29,female,White,HighSchool,rural,north central,34-67 %ile,clerical,no,catholic,no,NA
68,male,White,HighSchool,central,south,17-33 %ile,skilled,yes,protestant,yes,democrat
30,male,White,SomeCollege,suburban,north central,34-67 %ile,professional,yes,protestant,yes,democrat
65,male,White,HighSchool,central,south,34-67 %ile,professional,no,protestant,yes,republican
77,male,White,HighSchool,suburban,north central,34-67 %ile,clerical,no,catholic,yes,democrat
58,male,White,CollegeDegree,suburban,north central,34-67 %ile,professional,no,catholic,yes,republican
39,female,White,CollegeDegree,central,north central,17-33 %ile,professional,no,protestant,yes,democrat
