"","iid","gender","attr_o","intel_o","sinc_o","fun_o","amb_o","dec_o","race_o","race","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga"
"1",1,0,6,8,8,8,8,0,2,4,NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"2",1,0,7,10,8,7,7,0,2,4,NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"3",1,0,10,10,10,10,10,1,4,4,NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"4",1,0,7,9,8,8,9,1,2,4,NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"5",1,0,8,9,7,6,9,1,3,4,NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"6",1,0,7,8,7,8,7,1,2,4,NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"7",1,0,3,7,6,5,8,0,2,4,NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"8",1,0,6,5,7,6,8,0,2,4,NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"9",1,0,7,8,7,8,8,1,2,4,NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"10",1,0,6,6,6,6,6,0,2,4,NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"11",2,0,8,6,7,9,7,0,2,2,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"12",2,0,7,10,6,6,6,0,2,2,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"13",2,0,10,10,10,10,10,1,4,2,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"14",2,0,9,9,9,9,9,1,2,2,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"15",2,0,10,10,10,10,7,1,3,2,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"16",2,0,7,7,8,5,7,1,2,2,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"17",2,0,5,4,3,3,5,0,2,2,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"18",2,0,7,7,7,7,7,1,2,2,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"19",2,0,8,9,6,9,8,1,2,2,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"20",2,0,6,7,5,7,9,0,2,2,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"21",3,0,7,6,8,5,8,0,2,2,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"22",3,0,6,10,7,6,6,0,2,2,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"23",3,0,10,10,10,10,10,1,4,2,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"24",3,0,7,8,9,8,8,1,2,2,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"25",3,0,6,8,10,6,NA,1,3,2,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"26",3,0,7,6,6,6,6,1,2,2,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"27",3,0,6,5,3,4,5,0,2,2,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"28",3,0,4,6,5,4,6,0,2,2,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"29",3,0,7,6,7,8,7,1,2,2,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"30",3,0,5,8,6,5,8,0,2,2,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"31",4,0,6,8,7,7,7,0,2,2,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
"32",4,0,6,10,5,6,6,0,2,2,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
"33",4,0,10,10,10,10,10,1,4,2,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
"34",4,0,7,7,7,9,9,1,2,2,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
"35",4,0,8,9,8,8,8,1,3,2,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
