"","iid","gender","attr_o","intel_o","sinc_o","fun_o","amb_o","dec_o","race_o","race","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga"
"1",1,0,6.7,8,7.4,7.2,8,0.5,2.3,4,NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"2",2,0,7.7,7.9,7.1,7.5,7.5,0.6,2.3,2,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"3",3,0,6.5,7.3,7.1,6.2,NA,0.5,2.3,2,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"4",4,0,7,7.7,7.1,7.5,7.7,0.6,2.3,2,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
"5",5,0,5.3,7.6,7.7,7.2,7.8,0.3,2.3,2,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
"6",6,0,6.8,8.6,7.8,7,8,0.5,2.3,4,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
"7",7,0,7.9,8.2,7.6,7,7.5,0.7,2.3,4,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
"8",8,0,8.2,8.1,7.8,7.9,NA,0.8,2.3,2,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
"9",9,0,7,7.5,7.4,7.8,6.9,0.7,2.3,6,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
"10",10,0,NA,6.4,7,6.4,6.2,0.4,2.3,2,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
"11",11,1,5.6,8.2,8.8,5.4,6.4,0.4,3,2,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1
"12",12,1,7.1,7.1,6.6,6.7,6.9,0.4,3,2,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5
"13",13,1,4.8,8.8,7.9,7,5.9,0.4,3,4,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1
"14",14,1,8.2,7.4,7.6,7.6,6.6,0.8,3,2,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1
"15",15,1,5.7,7.7,7.6,7.2,6.5,0.3,3,3,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1
"16",16,1,5.6,7.6,8.4,4.4,6,0.3,3,2,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1
"17",17,1,6.7,8.5,7.6,6.1,6.7,0.8,3,2,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2
"18",18,1,5.1,7.7,7.4,5.2,7.5,0.3,3,2,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1
"19",19,1,7.7,7.7,6.8,8.5,7.1,0.9,3,2,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10
"20",20,1,7.5,7.9,7.3,8.2,8.4,0.9,3,2,7,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10
"21",21,0,5.0625,7.75,7.3125,NA,NA,0.1875,2.375,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
"22",22,0,NA,6.5,6.625,5.5,NA,0.1875,2.375,1,5,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
"23",23,0,5.9375,6.9375,NA,6.25,NA,0.375,2.375,4,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
"24",24,0,6.5,NA,NA,6.625,NA,0.5,2.375,2,9,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
"25",25,0,7.6875,NA,NA,NA,NA,0.875,2.375,2,9,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
"26",26,0,7.625,NA,NA,NA,NA,0.9375,2.375,2,9,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
"27",27,0,8.1875,NA,NA,7.5625,NA,0.9375,2.375,3,9,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
"28",28,0,6.625,7.25,7.4375,6.375,6.625,0.5,2.375,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,0,5.75,NA,NA,NA,NA,0.1875,2.375,2,9,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
"30",30,0,6.0625,NA,NA,NA,NA,0.25,2.375,2,1,5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
"31",31,0,7.875,7.4375,7.25,6.5,NA,0.8125,2.375,2,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
"32",32,0,NA,NA,NA,NA,NA,0.5625,2.375,4,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
"33",33,0,6,8.0625,7.8125,6.8125,NA,0.25,2.375,2,6,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9
"34",34,0,7.1875,NA,7.3125,NA,7.25,0.6875,2.375,4,7,7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7
"35",35,0,7.3125,NA,NA,NA,NA,0.6875,2.375,2,7,9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3
"36",36,0,6.25,NA,NA,NA,NA,0.5,2.375,2,4,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1
"37",37,0,NA,NA,NA,NA,NA,0.1875,2.375,2,7,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9
"38",38,0,NA,NA,NA,NA,NA,0.4375,2.375,1,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2
"39",39,0,NA,NA,NA,NA,NA,0.125,2.375,3,1,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1
"40",40,1,4.10526315789474,6.47368421052632,6.63157894736842,5.94736842105263,NA,0.210526315789474,2.42105263157895,4,NA,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
"41",41,1,3.68421052631579,NA,6.47368421052632,NA,6.63157894736842,0,2.42105263157895,4,1,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
"42",42,1,4.94736842105263,NA,6.05263157894737,5.73684210526316,NA,0.210526315789474,2.42105263157895,4,5,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
"43",43,1,4.26315789473684,6.94736842105263,6.36842105263158,4.63157894736842,NA,0.157894736842105,2.42105263157895,2,2,8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2,1
"44",44,1,4.89473684210526,6.78947368421053,6.63157894736842,NA,5.89473684210526,0.210526315789474,2.42105263157895,2,2,9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6,8
"45",45,1,5.21052631578947,6.89473684210526,6.21052631578947,NA,6.52631578947368,0.210526315789474,2.42105263157895,2,7,9,7,3,6,8,6,6,7,6,6,7,6,7,6,6,6,3
"46",46,1,7.63157894736842,7.31578947368421,6.78947368421053,NA,NA,0.473684210526316,2.42105263157895,2,7,10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7
"47",47,1,4.05263157894737,6.47368421052632,5.84210526315789,5.63157894736842,5.94736842105263,0.0526315789473684,2.42105263157895,2,2,6,7,2,8,7,6,3,7,4,7,4,5,8,8,7,2,1
"48",48,1,6.73684210526316,5.89473684210526,6.26315789473684,6.78947368421053,5.63157894736842,0.421052631578947,2.42105263157895,2,6,3,1,6,7,7,8,1,5,8,4,6,10,10,6,8,6,2
"49",49,1,6.31578947368421,NA,NA,6.97368421052632,NA,0.421052631578947,2.42105263157895,4,7,10,7,5,7,6,7,2,8,7,9,5,5,6,5,8,2,7
"50",50,1,6.31578947368421,NA,6.57894736842105,7.63157894736842,NA,0.578947368421053,2.42105263157895,1,1,10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6,2
"51",51,1,5.36842105263158,6.47368421052632,4.86842105263158,4.21052631578947,6.07894736842105,0.263157894736842,2.42105263157895,2,1,6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2,1
"52",52,1,NA,NA,NA,NA,NA,0.210526315789474,2.42105263157895,2,1,8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2
"53",53,1,NA,NA,NA,NA,NA,0.473684210526316,2.42105263157895,2,4,8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3
"54",54,1,4.42105263157895,NA,6.31578947368421,4.84210526315789,6.47368421052632,0,2.42105263157895,2,7,5,2,2,8,7,8,8,1,3,7,1,8,6,9,9,1,3
"55",55,1,6.21052631578947,7,7.05263157894737,NA,NA,0.315789473684211,2.42105263157895,1,1,10,8,4,5,5,4,1,6,10,9,7,5,10,7,10,5,1
"56",56,0,7.5,6.5,6.8,6.9,7,0.7,2.8,2,9,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4
"57",57,0,5.3,6.9,7.7,5.9,5.7,0.2,2.8,2,9,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9
"58",58,0,NA,NA,NA,NA,NA,0.5,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,0,NA,NA,NA,NA,NA,0,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,0,4.8,6.4,7,6.5,6,0.2,2.8,6,6,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5
"61",61,0,3.9,NA,7.1,5.3,5.7,0.2,2.8,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7
"62",62,0,8.3,7.6,7.1,7,6.5,0.8,2.8,3,1,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2
