"","gender","attr_o","intel_o","sinc_o","fun_o","amb_o","dec_o","race_o","race","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga"
"1",0,6.7,8,7.4,7.2,8,0.5,2.3,4,5.27779126213592,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"2",0,7.7,7.9,7.1,7.5,7.5,0.6,2.3,2,5.27779126213592,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"3",0,6.5,7.3,7.1,6.2,7.07784090909091,0.5,2.3,2,5.27779126213592,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"4",0,7,7.7,7.1,7.5,7.7,0.6,2.3,2,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
"5",0,5.3,7.6,7.7,7.2,7.8,0.3,2.3,2,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
"6",0,6.8,8.6,7.8,7,8,0.5,2.3,4,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
"7",0,7.9,8.2,7.6,7,7.5,0.7,2.3,4,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
"8",0,8.2,8.1,7.8,7.9,7.37784090909091,0.8,2.3,2,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
"9",0,7,7.5,7.4,7.8,6.9,0.7,2.3,6,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
"10",0,6.31904114621602,6.4,7,6.4,6.2,0.4,2.3,2,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
"11",1,5.6,8.2,8.8,5.4,6.4,0.4,3,2,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1
"12",1,7.1,7.1,6.6,6.7,6.9,0.4,3,2,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5
"13",1,4.8,8.8,7.9,7,5.9,0.4,3,4,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1
